termo	descricaoMMA	domínio	planilha	termoEquivalente	Nota
Principais Ameaças			"Dados_BI_especiesameacadas_20.02.2020_paraequipe; Estrategia Nacional - niveis de proteção"	iucn:threats:Threats.ThreatsSubfield.StressesSubfield.stressdesc, iucn:threats:Threats.ThreatsSubfield.ThreatsName, cncfws:threats:threat, cncfws:threats:severity, cncfws:threats:incidence, cncfws:threats:ended, cncfws:threats:reversible, cncfws:threats:references, cncfws:threats:details	Os termos equivalentes listados possuem domínios específicos que devem ser considerados para eventual mapeamento.
Presença em Áreas Protegidas	Presença ou ausência em áreas protegidas	"Sim; Não"	"Dados_BI_especiesameacadas_20.02.2020_paraequipe; Estrategia Nacional - niveis de proteção"	dwc:MeasurementOrFact:MeasurementOrFact, dwc:MeasurementOrFact:measurementValue	Catálogo de UCs pode ser uma fonte de dados importante para flora. Os termos equivalentes dwc:MeasurementOrFact e dwc:measurementValue devem ser usados concomitantemente, o primeiro para descrever o campo e o segundo para o valor. 
Plano de Ação Nacional para Conservação (PAN)			"Dados_BI_especiesameacadas_20.02.2020_paraequipe; Estrategia Nacional - niveis de proteção"	cncfws:actions:action, cncfws:actions:situation, cncfws:actions:references, cncfws:actions:details, iucn:conservationneeded:ConservationActions.ConservationActionsSubfield.ConservationActionsLookup, iucn:conservationneeded:ConservationActions.ConservationActionsSubfield.ConservationActionsName, iucn:conservationneeded:ConservationActions.ConservationActionsSubfield.note	Os termos equivalentes listados possuem domínios específicos que devem ser considerados para eventual mapeamento.
Ordenamento Pesqueiro 			"Dados_BI_especiesameacadas_20.02.2020_paraequipe; Estrategia Nacional - niveis de proteção"	iucn:conservationneeded:ConservationActions.ConservationActionsSubfield.ConservationActionsLookup, iucn:conservationneeded:ConservationActions.ConservationActionsSubfield.ConservationActionsName, iucn:conservationneeded:ConservationActions.ConservationActionsSubfield.note	Os termos equivalentes listados possuem domínios específicos que devem ser considerados para eventual mapeamento.
Nível de Proteção na Estratégia Nacional / NÍVEL PÓS-OFICINA	Os Níveis de Proteção variam de 0 a 5, em que 0 demonstra ausência de medidas de conservação e 5 demonstra que a espécie está suficientemente coberta por medidas de conservação		"Dados_BI_especiesameacadas_20.02.2020_paraequipe; Estrategia Nacional - niveis de proteção; Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi"		
Espécie exclusiva do Brasil		"Sim; Não; Informação não disponível"	Dados_BI_especiesameacadas_20.02.2020_paraequipe	faunaws:v_distribuicao:endemicbrazil, dwc:distribution:occurrenceRemarks, cncfws:distribution:brasilianEndemic, floraws:distribuition:endemism	Os termos equivalentes listados possuem domínios específicos que devem ser considerados para eventual mapeamento. No caso do termo dwc, recomenda-se o uso de um json detalhando nome de campo e conteúdo.
Estados de Ocorrência			Dados_BI_especiesameacadas_20.02.2020_paraequipe	dwc:distribution:locationID	
Fonte da Imagem			Dados_BI_especiesameacadas_20.02.2020_paraequipe	dwc:Record-level:type, dwc:Record-level:license, dwc:Record-level:ownerInstitutionCode	Recomenda-se o uso dos três campos em dwc Para definição do tipo de registro (no caso imagens), licença de uso e instituição fonte da imagem.
Créditos	Autor da imagem		Dados_BI_especiesameacadas_20.02.2020_paraequipe	dwc:Record-level:rightsHolder	
Medida: Área distribuição UC+TI+AM	"Esta medida se refere ao grau de proteção de habitat da espécie em Unidades de Conservação, Terras Indígenas e Áreas Militares. Os cálculos utilizados nesta medida consideram o grau de efetividade de cada área protegida calculado pelo SAMGe/ICMBio e o grau de sobreposição da área de ocorrência da espécie com estas áreas protegidas. Detalhes do cálculo encontram-se no documento intitulado ""Descricao_metodologia_analiseefetividade_nov18""."	"0; 1; 2; 3"	Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi		
Peso da Medida: Área distribuição UC+TI+AM	Peso proporcional ao potencial de contribuição da medida para melhorar o status de conservação da espécie	2,5	Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi		
Medida: Caverna	"As análises espaciais de ocorrência das espécies em cavernas foram descritas no item anterior. A lista das espécies ameaçadas que ocorrem em cavernas foi fornecida pelo CECAV/ICMBio.
A sugestão da reunião de especialistas foi considerar com um peso maior as cavernas classificadas como de máxima relevância. Entretanto, a ocorrência de espécies ameaçadas é um dos critérios que classifica a caverna como de máxima relevância. Portanto, todas as cavernas deste exercício são necessariamente de máxima relevância.
Devido à dificuldade de determinar a extensão das cavernas, não foi possível calcular a área de distribuição das espécies que está coberta por cavernas, e sim presença e ausência. Dessa forma, foi atribuída Classe 2 nesse critério para todas as espécies analisadas que apresentaram sobreposição com cavernas."	"0; 2"	Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi		
Peso da Medida: Caverna	Peso proporcional ao potencial de contribuição da medida para melhorar o status de conservação da espécie	2	Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi		
Medida: PAN	"A efetividade dos PAN foi avaliada de acordo com seu grau de implementação:
• Classe 1: espécies que estão em PAN não avaliado; espécies em PAN encerrados, aguardando novo ciclo; espécies em PAN com menos de 40% de implementação;
• Classe 2: espécies que estão em PAN com grau de implementação igual ou maior que 40%;
• Classe 3: espécies em PAN encerrado que atingiu seu objetivo e não necessita de novo ciclo."	"0; 1; 2; 3"	Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi		
Peso da Medida: PAN	Peso proporcional ao potencial de contribuição da medida para melhorar o status de conservação da espécie	2	Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi		
Medida: Ordenamento pesqueiro	"A equipe do DESP/MMA realizou um levantamento das normas de ordenamento pesqueiro vigentes, considerando também moratórias e planos de recuperação. O critério considerado foi o seguinte:
• Classe 1: espécie é indiretamente beneficiada pela medida;
• Classe 2: ordenamento direcionado às práticas que afetam diretamente as espécies
• Classe 3: moratória ou citada nominalmente no ordenamento (exclusivo exemplo portaria da moratória da Piracatinga)"	"0; 1; 2; 3"	Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi		
Peso da Medida: Ordenamento pesqueiro	Peso proporcional ao potencial de contribuição da medida para melhorar o status de conservação da espécie	1	Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi		
Medida: Portaria 443	"A Portaria MMA nº 443/2014, que estabelece a lista das espécies ameaçadas da flora, foi considerada como uma medida de conservação pelo fato de proibir coleta, corte, transporte, armazenamento, manejo, beneficiamento e comercialização das espécies listadas.
Todavia, o Art. 3° permite uma exceção para as espécies da categoria Vulnerável (VU), desde que regulamentada. As espécies madeireiras desta categoria que estão no bioma Amazônia foram regulamentadas, o que permite seu corte. Portanto, essas espécies receberam uma pontuação menor nesse critério:
• Classe 1: espécies madeireiras, da categoria VU, que ocorrem no bioma amazônico;
• Classe 2: demais espécies da flora, listadas na Portaria MMA nº 443/2014."		Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi		
Peso da Medida: Portaria 443	Peso proporcional ao potencial de contribuição da medida para melhorar o status de conservação da espécie	2	Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi		
Medida: Portaria 445	"A inclusão da Portaria MMA n° 445/2014 segue o mesmo princípio que o da Portaria MMA nº 443/2014, considerando que a lista das espécies de peixes e invertebrados aquáticos ameaçados também oferece proteção diferenciada a estas espécies em relação às espécies não listadas considerando as restrições de uso previstas. O critério considerado foi o seguinte:
• Classe 1: espécies com interesse sócio-econômico que se beneficiariam com a Portaria MMA 445/2014.
• Classe 2: CR e EN de interesse econômico, com captura proibida."		Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi		
Peso da Medida: Portaria 445	Peso proporcional ao potencial de contribuição da medida para melhorar o status de conservação da espécie	2	Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi		
Medida: Anexo CMS	"Anexo CMS foi considerado como medida de conservação segundo o seguinte critério:
• Classe 2: espécies listadas no Anexo II da CMS
• Classe 3: espécies listadas no Anexo I da CMS"	"0; 2; 3"	Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi		
Peso da Medida: Anexo CMS	Peso proporcional ao potencial de contribuição da medida para melhorar o status de conservação da espécie	1	Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi		
Medida: Anexos CITES	"Anexos da CITES foram considerados como medidas de conservação segundo o seguinte critério:
• Classe 3: espécies listadas nos Anexos da CITES"	"0; 3"	Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi		
Peso da Medida: Anexos CITES	Peso proporcional ao potencial de contribuição da medida para melhorar o status de conservação da espécie	1	Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi		
SOMA CLASSES	Soma dos valores (após multiplicação na coluna vizinha) relativos às medidas de conservação listadas com exceção da Portaria 445 e Anexo CMS. A portaria 445 		Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi		
